donor,recipient,engraftment rate,flux,metabolism
D-5Fryst,89,0.08746036401483734,44.129392440339494,scfa metabolism
D-5Fryst,90,-0.23040766755049108,38.60329268652025,scfa metabolism
D-6Fresk,11,0.22681807303899928,46.717391514992556,scfa metabolism
D-6Fresk,12,0.05333776187823788,43.221679871683264,scfa metabolism
D-6Fresk,16,0.26944298176849824,47.19596471366619,scfa metabolism
D-6Fresk,18,0.23401916874007475,60.90285696512726,scfa metabolism
D-6Fresk,19,0.31421198688646407,42.791385061338225,scfa metabolism
D-6Fresk,22,0.264698380427245,43.696031737900476,scfa metabolism
D-6Fresk,23,0.10648815074032347,27.428807561214935,scfa metabolism
D-6Fresk,3,0.14211607382392313,40.21711449802786,scfa metabolism
D-6Fresk,31,0.03953154941471211,34.58200493270364,scfa metabolism
D-6Fresk,32,0.17065046910360018,40.3328604928249,scfa metabolism
D-6Fresk,36,0.12207510365296273,40.51933332702734,scfa metabolism
D-6Fresk,37,0.23009823976285668,36.065519405664574,scfa metabolism
D-6Fresk,54,-0.00013005800643876638,31.936529287690153,scfa metabolism
D-6Fresk,56,0.21394495911516437,35.910990548492485,scfa metabolism
D-6Fresk,59,0.3893646795367954,38.22335512371177,scfa metabolism
D-6Fresk,70,0.2606471573995001,43.09083170750719,scfa metabolism
D-6Fresk,71,0.23616159938431963,54.12907027085797,scfa metabolism
D-6Fresk,75,0.0920680601054283,38.974417746896414,scfa metabolism
D-6Fresk,77,0.2695578233492635,61.552335282540305,scfa metabolism
D-6Fresk,78,0.24958596513727688,63.44974397702537,scfa metabolism
D-6Fresk,88,-0.04934135226655018,36.280013311373956,scfa metabolism
D-6Fresk,89,0.23514331827721208,35.488591762015716,scfa metabolism
D-6Fresk,90,-0.03966874370651069,36.66858404922152,scfa metabolism
D-7Fryst,11,0.20249821053577496,36.869121103135946,scfa metabolism
D-7Fryst,12,-0.06155639468002553,41.18591641439401,scfa metabolism
D-7Fryst,16,0.12541555101895493,39.63067120132808,scfa metabolism
D-7Fryst,19,0.06168825230237388,37.14856299241192,scfa metabolism
D-7Fryst,22,0.22175201931180333,42.00338287204095,scfa metabolism
D-7Fryst,23,0.07081144030426038,31.84663569517196,scfa metabolism
D-7Fryst,24,-0.0949759374404328,47.82715293959489,scfa metabolism
D-7Fryst,25,-0.047177734785272325,38.39280239841877,scfa metabolism
D-7Fryst,3,-0.050222857181401556,38.87496444065757,scfa metabolism
D-7Fryst,30,-0.010731214069288874,34.23176427271018,scfa metabolism
D-7Fryst,31,-0.1390636294861054,36.816850245920165,scfa metabolism
D-7Fryst,33,0.15187693914372194,37.41532666181175,scfa metabolism
D-7Fryst,37,0.2306212544746674,35.29348736433279,scfa metabolism
D-7Fryst,54,-0.07386677293789888,35.87313278577266,scfa metabolism
D-7Fryst,56,0.0481465251702022,43.478656942012776,scfa metabolism
D-7Fryst,59,0.07387050664348814,39.46243474489067,scfa metabolism
D-7Fryst,70,0.06616992097766303,40.43940046271908,scfa metabolism
D-7Fryst,71,0.05458880899573224,41.43491974189487,scfa metabolism
D-7Fryst,75,-0.06497814864204356,39.16579817287157,scfa metabolism
D-7Fryst,77,0.1441723250813369,51.6779048991517,scfa metabolism
D-7Fryst,78,0.20221404059274012,66.26243259424726,scfa metabolism
D-7Fryst,88,-0.21250539866099943,37.17513849149684,scfa metabolism
D-7Fryst,89,0.042951062997957,43.26582070400079,scfa metabolism
D-7Fryst,90,-0.0878508582534435,38.0706898452574,scfa metabolism
D-9Fryst,11,0.4520349055319472,27.894309791360445,scfa metabolism
D-9Fryst,12,0.054470095501375,41.60667133075468,scfa metabolism
D-9Fryst,16,0.3764029678717075,30.979545977698162,scfa metabolism
D-9Fryst,18,0.21816589683912735,65.45732894667059,scfa metabolism
D-9Fryst,19,0.3351328917608346,34.830021657025355,scfa metabolism
D-9Fryst,22,0.29009546003709474,34.30334615919339,scfa metabolism
D-9Fryst,23,0.15431209246717667,29.592086681578756,scfa metabolism
D-9Fryst,24,0.10396090819095513,41.70015199386491,scfa metabolism
D-9Fryst,25,0.0035270148255345754,42.90777591098629,scfa metabolism
D-9Fryst,3,-0.19480375972871183,40.9468468004372,scfa metabolism
D-9Fryst,30,0.061780850292892986,35.89087770270073,scfa metabolism
