taxon,average_distance,comparison,sample_id
1203606,2.3003982368332556,D-2 vs 12-0,D-2
1322347,1.7747080192402322,D-2 vs 12-0,D-2
347253,3.5636141245466533,D-2 vs 12-0,D-2
367928,4.004578042689159,D-2 vs 12-0,D-2
411459,4.865922994807803,D-2 vs 12-0,D-2
226186,7.161295420627847,D-2 vs 12-0,D-2
411461,10.876357539251433,D-2 vs 12-0,D-2
411460,4.401163724168312,D-2 vs 12-0,D-2
411462,6.680951712885874,D-2 vs 12-0,D-2
411467,4.548864553646184,D-2 vs 12-0,D-2
411463,7.1730864559395995,D-2 vs 12-0,D-2
411473,3.0094077786945093,D-2 vs 12-0,D-2
411471,6.240821081288958,D-2 vs 12-0,D-2
411468,2.711374951843731,D-2 vs 12-0,D-2
411469,3.7708524626438624,D-2 vs 12-0,D-2
411474,1.8342280429875717,D-2 vs 12-0,D-2
411475,10.980699587233085,D-2 vs 12-0,D-2
411470,4.387138193782085,D-2 vs 12-0,D-2
411477,14.392702559334055,D-2 vs 12-0,D-2
411476,12.00983136668303,D-2 vs 12-0,D-2
411479,10.581947574073382,D-2 vs 12-0,D-2
411483,10.327098218846984,D-2 vs 12-0,D-2
411485,9.406867477618484,D-2 vs 12-0,D-2
411484,4.9909995189258325,D-2 vs 12-0,D-2
411486,6.470907574154113,D-2 vs 12-0,D-2
411901,8.458735727237924,D-2 vs 12-0,D-2
411487,2.975297561949459,D-2 vs 12-0,D-2
411489,5.042465166165998,D-2 vs 12-0,D-2
411902,5.396282390226288,D-2 vs 12-0,D-2
411903,5.00393359137188,D-2 vs 12-0,D-2
428125,5.007779026592167,D-2 vs 12-0,D-2
428127,1.7970138867498253,D-2 vs 12-0,D-2
445970,9.04884042464226,D-2 vs 12-0,D-2
445972,4.468493274875544,D-2 vs 12-0,D-2
428128,2.627076973186493,D-2 vs 12-0,D-2
445973,3.6382746541871795,D-2 vs 12-0,D-2
435590,17.926840041807118,D-2 vs 12-0,D-2
449673,12.331868282096416,D-2 vs 12-0,D-2
457387,7.248047178012193,D-2 vs 12-0,D-2
457388,6.897778241448397,D-2 vs 12-0,D-2
457390,8.667430884076428,D-2 vs 12-0,D-2
457391,8.840197725648927,D-2 vs 12-0,D-2
457393,11.08989263144081,D-2 vs 12-0,D-2
457412,6.735734353443488,D-2 vs 12-0,D-2
457394,12.133492543905696,D-2 vs 12-0,D-2
457395,8.591372097009005,D-2 vs 12-0,D-2
457421,3.3838146266308855,D-2 vs 12-0,D-2
469585,6.263379607360406,D-2 vs 12-0,D-2
469588,6.563024522410861,D-2 vs 12-0,D-2
469590,8.460108025751548,D-2 vs 12-0,D-2
469591,7.028582247884796,D-2 vs 12-0,D-2
469592,6.154553565017635,D-2 vs 12-0,D-2
469593,12.189323831950379,D-2 vs 12-0,D-2
469596,1.897514468830924,D-2 vs 12-0,D-2
470146,4.634709696247734,D-2 vs 12-0,D-2
471875,3.747977286252367,D-2 vs 12-0,D-2
476272,4.493789936170544,D-2 vs 12-0,D-2
