taxon,donor,donor_abd
AZC9C_14,J,0
AZC9C_25,J,0.00164768068021287
AZC9C_27,J,0
AZC9C_34,J,0.00240629544993224
AZC9C_57,J,0
AZC9C_88,J,0
AZC3J_1,J,0.00270195773101419
AZC3J_20,J,0.00279077331816578
AZC3J_25,J,0.00372341498817721
AZC3J_26,J,0.00114067925789351
AZC3J_31,J,0.00134821897611582
AZC3J_45,J,0.00208927876739301
AZC3J_49,J,0.00461959417267201
AZC3J_56,J,0.0029966073490803
AZC3J_57,J,0.0022042615656964
AZC3J_59,J,0.00321537057123428
AZC3J_6,J,0.00797870092326042
AZC3J_60,J,0.00314029683271794
AZC3J_61,J,0.00137559099334246
AZC3J_71,J,0.00133275027362258
AZC3J_77,J,0.00124033383569882
AZC3J_82,J,0.0157180769247481
AZC3J_9,J,0.00108250317454301
AZC3J_95,J,0.00147072529002516
AZC5T_115,J,0.00758835706093766
AZC5T_67,J,0.00283449160062173
AZC7E_107,J,0.00295510055967024
AZC7E_47,J,0.0084397923622332
AZC7E_74,J,0.00247757628131558
AZC9C_108,J,0.00368184666008299
AZC9C_110,J,0.00361639390555153
AZC9C_115,J,0.0020341699897801
AZC9C_3,J,0.00305087838795009
AZC9C_30,J,0.00130256280428662
AZC9C_60,J,0.00124372869774679
AZC9C_69,J,0.00693605739780125
AZC9C_80,J,0.00146662464796592
AZC9C_81,J,0.00147866045236602
AZC9C_91,J,0.00185009762538068
AZC9C_97,J,0.00302932707500023
AZC3J_10,J,0
AZC3J_2,J,0
AZC3J_62,J,0
AZC3J_63,J,0
AZC3J_70,J,0
AZC3J_92,J,0
AZC5T_1,J,0
AZC5T_111,J,0
AZC5T_12,J,0
AZC5T_17,J,0
AZC5T_24,J,0
AZC5T_4,J,0
AZC5T_47,J,0
AZC5T_49,J,0
AZC5T_53,J,0
AZC5T_58,J,0
AZC5T_61,J,0
AZC5T_63,J,0
AZC5T_65,J,0
AZC5T_71,J,0
AZC5T_79,J,0
AZC5T_82,J,0
AZC5T_90,J,0
AZC5T_99,J,0
AZC7E_117,J,0
AZC7E_22,J,0
AZC7E_52,J,0
AZC9C_58,J,0
AZC3J_13,T,0.00185617408599308
AZC3J_18,T,0.00807650454351224
AZC3J_28,T,0
AZC3J_3,T,0
AZC3J_34,T,0.0049116377533348
AZC3J_46,T,0
AZC3J_51,T,0
AZC3J_55,T,0
AZC3J_64,T,0
AZC3J_73,T,0
AZC3J_74,T,0
AZC3J_76,T,0
AZC3J_79,T,0
AZC3J_80,T,0
AZC3J_81,T,0.00937708457534826
AZC3J_87,T,0
AZC3J_91,T,0
AZC3J_99,T,0.00447336199305523
AZC5T_104,T,0.00161541879256655
AZC5T_107,T,0
AZC5T_109,T,0
AZC5T_119,T,0.0019602682675451
AZC5T_120,T,0
AZC5T_122,T,0
AZC5T_14,T,0
AZC5T_19,T,0
AZC5T_22,T,0
AZC5T_26,T,0
AZC5T_30,T,0.00662859755493296
AZC5T_37,T,0
AZC5T_38,T,0
AZC5T_44,T,0
AZC5T_57,T,0
AZC5T_64,T,0.00791334203377734
AZC5T_66,T,0.00355562018743082
AZC5T_68,T,0
AZC5T_69,T,0
AZC5T_78,T,0
AZC5T_8,T,0
AZC5T_80,T,0.0366870496664616
AZC5T_85,T,0.00266005165851355
AZC5T_87,T,0
AZC5T_93,T,0.114205393684256
AZC5T_94,T,0
AZC5T_97,T,0
AZC5T_98,T,0
AZC7E_109,T,0
AZC7E_114,T,0.00992912689619509
AZC7E_12,T,0
AZC7E_15,T,0
AZC7E_16,T,0
AZC7E_25,T,0
AZC7E_29,T,0.00718391883310356
AZC7E_39,T,0
AZC7E_45,T,0.0107482163137819
AZC7E_51,T,0
AZC7E_54,T,0
AZC7E_57,T,0.00612523320017991
AZC7E_59,T,0
AZC7E_60,T,0
AZC7E_61,T,0
