taxon,distance,sample_id,donor,recipient,mean_d0_abundance,fold_change,colonization,colonization_binary,independence,donor_diversity,recipient_diversity,diversity_ratio,donor_abd
AZC7E_55,0.760241432813792,EtoJ,E,J,0.00050392882871645,0.518643304616165,non-colonized,0,4.12,4.06235438221927,3.43373291554281,1.18307232453375,0.00173765000420653
AZC7E_58,1.82278818538823,EtoJ,E,J,0.00017147248965891,71.6896100176037,colonized,1,21.6,4.06235438221927,3.43373291554281,1.18307232453375,0.00436998783591332
AZC7E_61,1.32446759731542,EtoJ,E,J,0.00011972998019517,38.8685326699899,non-colonized,0,21.2,4.06235438221927,3.43373291554281,1.18307232453375,0.00286548000095336
AZC7E_62,0.960432421531279,EtoJ,E,J,0.00048046913995683,2.57841708465875,non-colonized,0,14.3,4.06235438221927,3.43373291554281,1.18307232453375,0.00331410824804025
AZC7E_68,4.73833289064188,EtoJ,E,J,0.00019527310031032,49.2658765953255,colonized,1,20.96,4.06235438221927,3.43373291554281,1.18307232453375,0.00978356182803776
AZC7E_71,0.655071872527933,EtoJ,E,J,9.656636238222e-05,10.6596651694163,non-colonized,0,21.32,4.06235438221927,3.43373291554281,1.18307232453375,0.00165441513748065
AZC7E_73,8.05838406656078,EtoJ,E,J,0.00048747929788455,30.0480467458322,colonized,1,21.16,4.06235438221927,3.43373291554281,1.18307232453375,0.0185317817917658
AZC7E_76,0.530343617212903,EtoJ,E,J,5.24800155231e-05,1.45676083579264,non-colonized,0,15.75,4.06235438221927,3.43373291554281,1.18307232453375,0.00142226464938457
AZC7E_77,0.367046906004667,EtoJ,E,J,0.00019560912086784,0.709296836373203,non-colonized,0,16.65,4.06235438221927,3.43373291554281,1.18307232453375,0.00154554702737987
AZC7E_79,1.96293625148105,EtoJ,E,J,0.00031806653602812,22.1425806832999,colonized,1,18.15,4.06235438221927,3.43373291554281,1.18307232453375,0.00525147448087453
AZC7E_80,3.86052107242398,EtoJ,E,J,3.731148719713e-05,1.0811747837067,non-colonized,0,15.31,4.06235438221927,3.43373291554281,1.18307232453375,0.00500993193686791
AZC7E_81,1.63680787564137,EtoJ,E,J,0.00021809345728848,13.4268518786701,non-colonized,0,21.22,4.06235438221927,3.43373291554281,1.18307232453375,0.00320335897885185
AZC7E_84,1.00434993835508,EtoJ,E,J,2.101928497169e-05,227.578341405898,non-colonized,0,20.59,4.06235438221927,3.43373291554281,1.18307232453375,0.0022344626827557
AZC7E_87,1.09669529687225,EtoJ,E,J,2.19655413388e-06,4368.30234846319,colonized,1,14.5,4.06235438221927,3.43373291554281,1.18307232453375,0.00427134034945715
AZC7E_88,0.613625900944887,EtoJ,E,J,6.225030816459e-05,41.9962591718986,non-colonized,0,19.65,4.06235438221927,3.43373291554281,1.18307232453375,0.00158863217897728
AZC7E_89,5.25556875060192,EtoJ,E,J,8.202274114522e-05,264.109836410299,colonized,1,19.95,4.06235438221927,3.43373291554281,1.18307232453375,0.0127702114834667
AZC7E_90,1.09881159549128,EtoJ,E,J,7.213435767869e-05,31.359258111194,non-colonized,0,21.2,4.06235438221927,3.43373291554281,1.18307232453375,0.00237191784476182
AZC7E_91,1.21681132440644,EtoJ,E,J,0.00017081431064698,0.865081112700359,non-colonized,0,8.97,4.06235438221927,3.43373291554281,1.18307232453375,0.00272785980633088
AZC7E_93,1.07611430457275,EtoJ,E,J,6.6552622086e-07,850.616101009488,non-colonized,0,17.2,4.06235438221927,3.43373291554281,1.18307232453375,0.00270506491701068
AZC7E_94,0.68014538722809,EtoJ,E,J,1.625373610424e-05,98.4838619876695,non-colonized,0,21.76,4.06235438221927,3.43373291554281,1.18307232453375,0.00162320705660065
AZC7E_95,0.80843286700931,EtoJ,E,J,9.29405583901e-06,721.643864422494,colonized,1,20.57,4.06235438221927,3.43373291554281,1.18307232453375,0.00239035268952205
AZC7E_96,1.84272855375949,EtoJ,E,J,1.05363320832e-06,1035.76749524106,non-colonized,0,9.89,4.06235438221927,3.43373291554281,1.18307232453375,0.00416965062649104
AZC7E_97,1.75381108763134,EtoJ,E,J,0.00012432852785786,0.752065366951577,non-colonized,0,13.85,4.06235438221927,3.43373291554281,1.18307232453375,0.00439523974058185
AZC7E_101,1.65691577319369,EtoJ,E,J,0.00029940302666701,45.1352762080918,colonized,1,20.22,4.06235438221927,3.43373291554281,1.18307232453375,0.00359369194381709
AZC7E_104,4.54024796149666,EtoJ,E,J,4.837272466822e-05,313.938615547769,colonized,1,18.27,4.06235438221927,3.43373291554281,1.18307232453375,0.0075459100269767
AZC7E_105,4.30992028411688,EtoJ,E,J,3.390832354699e-05,10.46422607841,non-colonized,0,16.42,4.06235438221927,3.43373291554281,1.18307232453375,0.00553848987271913
AZC7E_106,4.67424340079999,EtoJ,E,J,9.25750093416e-06,64.9770932554263,non-colonized,0,20.5,4.06235438221927,3.43373291554281,1.18307232453375,0.00447199732428522
AZC7E_109,1.80849138355558,EtoJ,E,J,0.00075354307823156,6.78939104166501,non-colonized,0,22.18,4.06235438221927,3.43373291554281,1.18307232453375,0.00433379073668271
AZC7E_111,2.04769899955397,EtoJ,E,J,8.505588693178e-05,39.3372767105019,non-colonized,0,15.12,4.06235438221927,3.43373291554281,1.18307232453375,0.00496370667699096
AZC7E_113,15.320720146102,EtoJ,E,J,9.812503550083e-05,716.447091234871,colonized,1,18.45,4.06235438221927,3.43373291554281,1.18307232453375,0.0617611763275696
AZC7E_115,0.505474361250814,EtoJ,E,J,1.42225137531e-06,1.36393357088447,non-colonized,0,12.02,4.06235438221927,3.43373291554281,1.18307232453375,0.00169855187310149
AZC9C_14,1.84624733690974,EtoJ,E,J,6.732999396402e-05,3.4601421108874,non-colonized,0,4.13,4.06235438221927,3.43373291554281,1.18307232453375,0.00165885242085846
AZC9C_27,0.560922653800227,EtoJ,E,J,0.00016867269819825,0.600130771457635,non-colonized,0,13.3,4.06235438221927,3.43373291554281,1.18307232453375,0.00176897320433006
AZC9C_29,1.49521630988489,EtoJ,E,J,0.00028037472636405,0.847474345674987,non-colonized,0,14.05,4.06235438221927,3.43373291554281,1.18307232453375,0.0022066304912658
AZC9C_40,0.666900703272501,EtoJ,E,J,0.00080924916066755,3.467993015533,non-colonized,0,21.85,4.06235438221927,3.43373291554281,1.18307232453375,0.00167335873709661
AZC9C_57,0.619269472334118,EtoJ,E,J,3.455497939882e-05,13.7988238242242,non-colonized,0,10.49,4.06235438221927,3.43373291554281,1.18307232453375,0.00150402777178877
AZC9C_71,1.74168577725768,EtoJ,E,J,1.4977839211e-06,828.178219425421,non-colonized,0,9.89,4.06235438221927,3.43373291554281,1.18307232453375,0.00399660544400241
AZC9C_88,2.78367620187426,EtoJ,E,J,0.00082916428849129,8.66310349487488,colonized,1,22.18,4.06235438221927,3.43373291554281,1.18307232453375,0.00761699443342539
AZC9C_93,0.285671233683971,EtoJ,E,J,0.00046200173256472,0.663717352036656,non-colonized,0,14.45,4.06235438221927,3.43373291554281,1.18307232453375,0.00164883691088174
AZC9C_102,0.646694863691582,EtoJ,E,J,0.00018039119857343,0.863246414487506,non-colonized,0,15.35,4.06235438221927,3.43373291554281,1.18307232453375,0.00229343716411595
AZC9C_106,4.51349943220351,EtoJ,E,J,1.16954309163e-06,1.3639335704738,non-colonized,0,10.69,4.06235438221927,3.43373291554281,1.18307232453375,0.011913151930973
AZC9C_113,0.554393878193497,EtoJ,E,J,0.00089882173854682,0.712065800969385,non-colonized,0,15.95,4.06235438221927,3.43373291554281,1.18307232453375,0.00147359769236912
AZC9C_116,1.29915565468661,EtoJ,E,J,0.00112839614279485,0.665223131189024,non-colonized,0,15.56,4.06235438221927,3.43373291554281,1.18307232453375,0.00174650035013979
AZC3J_21,0.296288023455549,EtoT,E,T,0.00069201373353875,0.486078468019612,non-colonized,0,15,4.06235438221927,3.54157208843192,1.14704833920744,0.00117874846924511
AZC3J_32,1.32715822138494,EtoT,E,T,1.518258486313e-05,301.433207133414,non-colonized,0,21.22,4.06235438221927,3.54157208843192,1.14704833920744,0.00286262050487267
AZC3J_43,0.449522726028038,EtoT,E,T,0.00033754488166563,0.771968419842822,non-colonized,0,16.3,4.06235438221927,3.54157208843192,1.14704833920744,0.00145931054104722
AZC3J_55,0.575936020468358,EtoT,E,T,7.16152023533e-06,0.237942630389421,non-colonized,0,8.96,4.06235438221927,3.54157208843192,1.14704833920744,0.0016509049669171
AZC3J_58,0.830103744631526,EtoT,E,T,0.00110621638794507,0.485387680434188,non-colonized,0,14.79,4.06235438221927,3.54157208843192,1.14704833920744,0.00186919258110647
AZC3J_74,4.2010774373493,EtoT,E,T,1.830985156832e-05,815.760672778722,colonized,1,21.95,4.06235438221927,3.54157208843192,1.14704833920744,0.010953226565645
AZC3J_76,0.3990444199937,EtoT,E,T,5.0401806011e-07,3109.71087988854,non-colonized,0,20.87,4.06235438221927,3.54157208843192,1.14704833920744,0.00116037883624069
AZC3J_79,1.56732712527207,EtoT,E,T,8.00120255213e-06,2.39704845509943,non-colonized,0,3.32,4.06235438221927,3.54157208843192,1.14704833920744,0.00301424114659371
AZC3J_88,0.991823858285159,EtoT,E,T,4.747735581284e-05,64.1899492781718,non-colonized,0,21.87,4.06235438221927,3.54157208843192,1.14704833920744,0.00211738305364643
AZC3J_90,1.23639798735159,EtoT,E,T,0.0001064624172572,1.24799813942043,non-colonized,0,13.31,4.06235438221927,3.54157208843192,1.14704833920744,0.00318536132341803
AZC3J_91,0.245460313372377,EtoT,E,T,0.00119367797045984,0.663053074981571,non-colonized,0,14.65,4.06235438221927,3.54157208843192,1.14704833920744,0.00116414173467655
AZC5T_8,1.08207563583418,EtoT,E,T,0.00025670200250527,0.670242653650403,non-colonized,0,14.76,4.06235438221927,3.54157208843192,1.14704833920744,0.0031812901212078
AZC5T_9,0.352000137897741,EtoT,E,T,0.00032617387175081,0.841072035146811,non-colonized,0,13.75,4.06235438221927,3.54157208843192,1.14704833920744,0.0015609716875237
AZC5T_21,0.244739209687051,EtoT,E,T,0.0003306412653281,0.639344022494654,non-colonized,0,13.42,4.06235438221927,3.54157208843192,1.14704833920744,0.00102169633595568
AZC5T_32,0.403939696533862,EtoT,E,T,1.451021299957e-05,1.26613566485286,non-colonized,0,2.76,4.06235438221927,3.54157208843192,1.14704833920744,0.00138532878338633
AZC5T_39,0.602509695925202,EtoT,E,T,0.00022283577621433,1.19618472193503,non-colonized,0,10.49,4.06235438221927,3.54157208843192,1.14704833920744,0.00149939647296959
AZC5T_41,0.645820763446683,EtoT,E,T,4.52526951169e-06,1.72105348318342,non-colonized,0,3.55,4.06235438221927,3.54157208843192,1.14704833920744,0.00126784662270023
AZC5T_68,0.561122080472754,EtoT,E,T,0.00033522387792469,1.06580971622729,non-colonized,0,17.03,4.06235438221927,3.54157208843192,1.14704833920744,0.00142798160085121
AZC5T_69,0.507406350637677,EtoT,E,T,0.00032621484666724,0.655659131730255,non-colonized,0,16.7,4.06235438221927,3.54157208843192,1.14704833920744,0.00119969445308144
