taxon,distance,sample_id,abundance,growth_rate,degree centrality,shannon_diversity
AZC7E_91,0.8369373488875939,E,0.0040952808201699,0.0682477649149256,4.861111111111111,2.5283476908383173
AZC7E_93,0.8089849678345082,E,0.0040610593133262,0.0676834167271062,6.981481481481481,2.3546533217156655
AZC7E_94,0.45448931092280065,E,0.0024368879627294,0.0406282360642693,3.212962962962963,2.4258602584058586
AZC7E_95,0.6041026243964646,E,0.0035885882038814,0.0602184408822662,5.037037037037036,2.0326850399238072
AZC7E_96,1.20612345374984,E,0.0062598122520257,0.1043120333578191,4.768518518518518,2.1165250738458696
AZC7E_97,1.0578473478407693,E,0.006598484631754,0.1099728814402688,5.37962962962963,2.214633108313568
AZC7E_101,1.1450994578704545,E,0.0053951371170019,0.089905527904458,6.685185185185185,2.6697199610648576
AZC7E_104,3.3893006591778403,E,0.011328522284205,0.1887677666037702,6.666666666666666,2.182984975785015
AZC7E_105,2.945946405961947,E,0.0083148229596742,0.1385610969540264,5.907407407407407,1.7140095498832972
AZC7E_106,3.4588535692136007,E,0.0067137192415435,0.1121885091675858,5.944444444444444,2.0310281903359044
AZC7E_109,1.286139512613359,E,0.0065062324835672,0.1085077743058636,5.296296296296296,2.554684605504751
AZC7E_111,1.4770708679424727,E,0.0074519125594554,0.1242833153233258,5.75,2.561861584380848
AZC7E_113,12.128212507679214,E,0.0927208063473177,1.5450105269022874,8.203703703703702,1.950456824394419
AZC7E_115,0.4351667197227894,E,0.0025500016136578,0.0427845960786494,3.0648148148148144,2.1308535620706763
AZC7E_116,0.5633767521892538,E,0.0022548461075645,0.0375789520706775,3.648148148148148,2.2570372219396506
