id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC5T_106,17323.725826187732,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC5T_107,14146.605353225139,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_001689485.1
AZC5T_108,8714.870133049417,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA9416,
AZC5T_109,55834.42903664823,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp21
AZC5T_120,70831.59546595106,E,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis
AZC5T_21,6085.652489412655,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC5T_32,8251.600071937824,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-460,
AZC5T_34,6524.405248410978,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,GCA_002490635.1
AZC5T_39,8931.035139524989,E,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Savagellaceae,Savagella,Savagella sp1
AZC5T_41,7551.826980383925,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA9416,
AZC5T_51,9779.596851567527,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA5026,
AZC5T_52,7634.509487983246,E,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,
AZC5T_66,15152.697654661662,E,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_B,Lactobacillus_B murinus
AZC5T_68,8505.658166942105,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_J,
AZC5T_69,7145.884034223112,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,TF01-11,
AZC5T_78,7580.166895918591,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3282,
AZC5T_8,18949.100103764566,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC5T_84,70890.52566403327,E,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
AZC5T_85,23767.941732546766,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002358575.1
AZC5T_9,9297.802978999918,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,GCF_000403275.1
AZC5T_93,23204.901144210322,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens
AZC5T_94,7504.246469638701,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
AZC5T_97,10559.335949913693,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002492595.1
AZC7E_101,21405.538567990454,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale
