taxon,colonization_binary,distance,independence,mean_d0_abundance,diversity_ratio
AZC3J_82,0,2.97622049243997,15.71,0.00042053683934175,0.845256861531355
AZC3J_87,0,10.5933060087902,17.24,9.33576682711e-05,0.845256861531355
AZC3J_95,0,0.271371497191739,10.09,6.533803383958e-05,0.845256861531355
AZC3J_99,0,0.75922709715579,6.83,0.00042825995854771,0.845256861531355
AZC5T_22,0,0.819087301673295,21.31,6.162198151765e-05,0.845256861531355
AZC5T_64,0,3.56300109924095,8.97,0.00073824456200188,0.845256861531355
AZC5T_87,0,0.6632741917012,3.66,0.00011348705277965,0.845256861531355
AZC5T_98,0,0.44157192907893,8.38,4.99979100224e-06,0.845256861531355
AZC5T_115,0,1.5585750276019,15.39,4.59523650459e-06,0.845256861531355
AZC7E_16,0,0.402146638859147,8.68,2.618202322307e-05,0.845256861531355
AZC7E_29,0,0.602656499655331,17.54,0.0003140927107098,0.845256861531355
AZC7E_45,0,0.91417701140609,15.88,0.00026458044893378,0.845256861531355
AZC7E_47,0,1.64970769525581,2,0.00047412315087536,0.845256861531355
AZC7E_69,0,1.61381848924082,16.71,0.00072029698001099,0.845256861531355
AZC7E_74,0,0.464191932069477,17.53,0.00018299329575081,0.845256861531355
AZC9C_30,0,0.305653720301628,3.26,1.751639533594e-05,0.845256861531355
AZC9C_60,0,0.295460310123244,10.3,6.076056658526e-05,0.845256861531355
AZC9C_69,0,1.69875356218765,10.78,2.48590442308e-06,0.845256861531355
AZC9C_80,0,0.25485206503416,9.47,0.00108705855716053,0.845256861531355
AZC9C_81,0,0.314701337706552,14.89,0.00145839801559875,0.845256861531355
AZC9C_91,0,0.34806560727005,16.99,0.0005564273658978,0.845256861531355
AZC9C_96,0,0.384366714932274,3.02,0.00011645884504355,0.845256861531355
AZC9C_108,0,0.471544499165687,14.46,0.00035957125172636,0.845256861531355
AZC9C_110,0,0.532811038277131,16.2,8.672763890306e-05,0.845256861531355
AZC9C_115,0,0.361079270919893,3.36,4.289401318878e-05,0.845256861531355
AZC3J_2,0,0.252066174703996,17.11,0.00044603938937168,1.03140581272381
AZC3J_10,0,0.76547404651276,17.08,0.00029247938133943,1.03140581272381
AZC3J_62,0,6.81767144165005,22.18,0.00055823161499338,1.03140581272381
AZC3J_63,0,0.300298563896743,12.82,0.00036618485053587,1.03140581272381
AZC3J_70,0,3.07938349797155,11.71,0.00079362038872623,1.03140581272381
AZC3J_92,0,1.26718217436841,15.68,0.00039808057514334,1.03140581272381
AZC5T_1,0,3.51870548239482,16.71,0.00016001033031401,1.03140581272381
AZC5T_4,0,1.64670690045486,9.28,0.00037018921127071,1.03140581272381
AZC5T_12,0,3.78520890920411,20.98,0.00050142695736759,1.03140581272381
AZC5T_24,0,0.337136718142939,14.34,0.00014522229889322,1.03140581272381
AZC5T_30,0,2.75257589707306,11.93,0.00079535329907319,1.03140581272381
AZC5T_34,0,2.72795387188371,21.12,0.00018016285861893,1.03140581272381
AZC5T_47,0,2.41231103648061,13.95,0.00012757863665084,1.03140581272381
AZC5T_49,0,3.46188364128107,21.93,0.00033593611446702,1.03140581272381
AZC5T_51,0,0.544296111607357,4.43,5.733087611134e-05,1.03140581272381
AZC5T_53,0,3.32323701020478,20.99,2.682572669246e-05,1.03140581272381
AZC5T_58,0,5.26714507405784,21.7,6.152467226482e-05,1.03140581272381
AZC5T_61,0,0.82984268363798,22.2,9.722474047437e-05,1.03140581272381
AZC5T_63,0,0.623556949099698,14.11,0.00029238975976634,1.03140581272381
AZC5T_65,0,2.20868217138915,15.6,0.00012325769531944,1.03140581272381
AZC5T_66,0,1.32690465955898,11.55,5.3580123406e-07,1.03140581272381
AZC5T_71,0,0.29505714992648,11.51,0.00030969231064922,1.03140581272381
AZC5T_79,0,0.469015427619827,9.23,0.00016823144748343,1.03140581272381
AZC5T_80,1,10.1074283606959,22.19,2.60133571476e-06,1.03140581272381
AZC5T_90,0,0.210758488987998,16.61,0.00058491454241241,1.03140581272381
AZC5T_93,1,14.1418627036011,23.45,0.00064982616487158,1.03140581272381
AZC5T_99,0,0.92803966508777,14.53,3.679394388156e-05,1.03140581272381
AZC5T_104,0,0.6827332381061,16.3,0.00058100410625063,1.03140581272381
AZC5T_111,0,0.557683285204605,9.44,5.581129237844e-05,1.03140581272381
AZC5T_119,0,1.37360628024524,15.79,0.00016156798541312,1.03140581272381
AZC7E_22,0,2.72844617106484,10.2,1.104813431037e-05,1.03140581272381
AZC7E_52,0,2.72725267183719,19.48,7.905429773216e-05,1.03140581272381
AZC7E_55,0,0.217274614755289,4.12,0.00065255474707236,1.03140581272381
AZC7E_57,0,3.02225251196072,14.48,6.954675226324e-05,1.03140581272381
AZC7E_71,0,0.836397966280516,21.32,0.00010206358563819,1.03140581272381
AZC7E_73,0,3.80963733304188,21.16,0.0004777613516599,1.03140581272381
AZC7E_81,0,3.19185822791013,21.22,0.00024515522598378,1.03140581272381
AZC7E_90,0,1.47621047585267,21.2,8.453762514107e-05,1.03140581272381
AZC7E_96,0,1.48428183240021,9.89,5.4270847603e-07,1.03140581272381
AZC7E_111,0,4.84330814824492,15.12,8.342148101612e-05,1.03140581272381
AZC7E_114,0,4.68605368711676,18.14,3.42089588414e-06,1.03140581272381
AZC7E_117,0,3.12130567028631,17.22,3.83391824059e-06,1.03140581272381
AZC9C_18,1,10.3949909613305,23.31,2.948316573994e-05,1.03140581272381
AZC9C_58,0,0.430800545511584,8.52,0.00143920463465927,1.03140581272381
AZC9C_71,0,2.63413673789233,9.89,2.5456550805e-06,1.03140581272381
AZC9C_75,0,3.63210757181709,22.54,6.71644741153e-05,1.03140581272381
AZC9C_86,0,0.337400220071135,18.42,0.0001033663693633,1.03140581272381
AZC9C_93,0,0.539223862249036,14.45,0.00041239445600326,1.03140581272381
AZC3J_1,0,0.306163939799625,16.05,0.00074499090613873,0.933749629677281
AZC3J_2,0,0.243095469087581,17.11,0.00027324171740169,0.933749629677281
AZC3J_6,0,4.75480127606009,11.81,0.0004125835341238,0.933749629677281
AZC3J_10,0,0.434665304174444,17.08,0.00025624942845585,0.933749629677281
AZC3J_26,0,0.438530696328792,15.35,0.00019398026315544,0.933749629677281
AZC3J_45,0,0.271530189653932,13.71,0.00024841826807275,0.933749629677281
AZC3J_62,0,4.86356131136716,22.18,0.00012820142636226,0.933749629677281
AZC3J_63,0,0.288802634883009,12.82,7.37394599201e-05,0.933749629677281
AZC3J_70,0,1.73736164907821,11.71,0.00036526465692861,0.933749629677281
AZC3J_71,0,0.31526794181895,3.48,0.0007210798253407,0.933749629677281
AZC3J_92,0,0.768910262595843,15.68,0.00083826517984062,0.933749629677281
AZC3J_95,0,0.318069066721056,10.09,1.186930591708e-05,0.933749629677281
AZC5T_1,0,2.10822966600324,16.71,0.0001393784114461,0.933749629677281
AZC5T_4,0,0.990019872282227,9.28,0.00032711100884515,0.933749629677281
AZC5T_12,0,4.21921479932029,20.98,0.000472662968291,0.933749629677281
AZC5T_24,0,0.279919488428163,14.34,0.00011913894881357,0.933749629677281
AZC5T_34,0,2.93108387471164,21.12,0.00011982521959815,0.933749629677281
AZC5T_47,0,1.63645244842365,13.95,0.00040373511485763,0.933749629677281
AZC5T_49,0,3.85229908301275,21.93,4.764804831416e-05,0.933749629677281
AZC5T_51,0,0.392918231219252,4.43,4.052089803388e-05,0.933749629677281
AZC5T_53,0,3.67341786490922,20.99,1.81263328645e-05,0.933749629677281
AZC5T_58,0,6.09495393271231,21.7,1.428251766087e-05,0.933749629677281
AZC5T_61,0,0.550960314189416,22.2,8.532118403686e-05,0.933749629677281
AZC5T_63,0,0.549440467170509,14.11,0.00020760724937131,0.933749629677281
AZC5T_65,0,1.15835653282706,15.6,8.183204602732e-05,0.933749629677281
AZC5T_71,0,0.273105452690665,11.51,0.0001087630416656,0.933749629677281
AZC5T_79,0,0.410002074782846,9.23,5.395939267586e-05,0.933749629677281
AZC5T_90,0,0.256567214914025,16.61,0.00053501023449426,0.933749629677281
AZC5T_99,0,0.617069256692054,14.53,0.0005239577733218,0.933749629677281
AZC5T_111,0,0.587195636342156,9.44,0.00034528018114657,0.933749629677281
AZC5T_115,0,1.20279535444693,15.39,6.4080346229e-07,0.933749629677281
AZC7E_22,0,2.93166639733411,10.2,1.523797555164e-05,0.933749629677281
AZC7E_47,0,6.00743844693621,2,3.711746677927e-05,0.933749629677281
AZC7E_52,0,2.9302923054053,19.48,3.61956260364e-05,0.933749629677281
AZC7E_55,0,0.290431560868209,4.12,0.00019222392736786,0.933749629677281
AZC7E_71,0,0.746728641445632,21.32,0.00017229840802571,0.933749629677281
AZC7E_72,0,3.98171196840755,16.74,6.823262691e-07,0.933749629677281
