focal,PC1,PC2,sample_id
AZC5T_34,-0.154156202032628,-0.04582001146343294,E
AZC5T_39,-0.14823396024032853,-0.027413004817481032,E
AZC5T_41,-0.1531905585203155,-0.04784231340499854,E
AZC5T_51,-0.15343697363113026,-0.04744214515052814,E
AZC5T_66,-0.1460702540694536,-0.048588446677821896,E
AZC5T_68,-0.15105423835703727,-0.046839166763055405,E
AZC5T_69,-0.153936145227619,-0.04769860051238582,E
AZC5T_78,-0.1466847480717298,-0.0439621496697927,E
AZC5T_85,-0.13200952857196008,0.08176314100856209,E
AZC5T_93,-0.13412646625694097,0.06333674366216223,E
AZC5T_94,-0.15435253155901976,-0.04383861565538971,E
AZC5T_97,-0.12121397961980135,-0.05377641000405362,E
AZC5T_104,-0.1354564310418598,0.04891789530164065,E
AZC5T_106,-0.14971747507933872,-0.0342712221202964,E
AZC5T_107,-0.15015062376592217,-0.04732015442636019,E
AZC5T_108,-0.15262309479117236,-0.04778239413112726,E
AZC5T_109,0.9278751745398447,0.4399308550513887,E
AZC5T_120,0.13585245086713138,-0.07391127231887637,E
AZC7E_2,1.4080839590453227,0.5839211205846644,E
AZC7E_3,-0.0918731978346592,0.17085021246910698,E
AZC7E_4,-0.14945643725754532,-0.03365118191989086,E
AZC7E_12,-0.02620720534500161,0.5003950248811994,E
AZC7E_13,-0.15238807640170893,-0.043026073457628676,E
AZC7E_15,1.2272715700212438,6.478516709587317,E
AZC7E_17,-0.15036666126059622,-0.035320299998354995,E
AZC7E_23,0.32557493157021544,-0.13727250403016703,E
AZC7E_24,-0.14000297607853027,0.03816659514320082,E
AZC7E_25,-0.12167637693216259,0.02782786018736394,E
AZC7E_26,-0.14672495231650717,-0.00146691382455797,E
AZC7E_32,-0.1291048708754947,-0.038659903741183034,E
AZC7E_34,-0.15424195863488732,-0.04795653628184256,E
AZC7E_36,-0.1453332662547771,-0.022583868338625364,E
AZC7E_37,-0.13563499480452357,0.0028965354045555215,E
AZC7E_38,-0.0765592147138622,0.20179899384665725,E
AZC7E_39,0.07134388879813632,-0.08995227989992027,E
AZC7E_42,-0.0909674313284386,0.04371298404143755,E
AZC7E_48,-0.15248161444720484,-0.04566034555752685,E
AZC7E_54,1.145493186812462,-0.1658344265456757,E
AZC7E_55,-0.15287159388257177,-0.04748843432369253,E
AZC7E_58,-0.14653048813817507,-0.03464477986485626,E
AZC7E_60,-0.151033747120388,-0.03174152839067442,E
AZC7E_61,-0.1483298176566505,-0.04707687521187565,E
AZC7E_62,-0.15108194662969443,-0.038964848092027424,E
AZC7E_68,-0.10369663105492828,0.2679583062473578,E
AZC7E_70,2.1684589017198785,-0.4505899472993028,E
AZC7E_71,-0.15307458287089223,-0.042553440502146225,E
AZC7E_72,-0.15454913752372787,-0.0441362842644447,E
AZC7E_73,-0.022803182993356746,0.527133823897401,E
AZC7E_76,-0.14775635888203564,-0.049000327330852196,E
AZC7E_77,-0.15348702844669035,-0.04617872391911071,E
AZC7E_79,-0.14339496852191327,-0.017337047225973113,E
AZC7E_80,-0.12690958775923467,0.07159445624449301,E
AZC7E_81,-0.15199715985461035,-0.03488339804741696,E
AZC7E_84,-0.15180422372189,-0.03905092378416084,E
AZC7E_87,-0.152885338268871,-0.0459079461166469,E
AZC7E_88,-0.15321092845970422,-0.04292056362518622,E
AZC7E_89,-0.06850289703388057,0.5104761018338334,E
AZC7E_90,-0.150161713009479,-0.04732186743871248,E
AZC7E_91,-0.1523270133633857,-0.04320005420663101,E
