taxon,shannon_diversity,sample_id
AZC9C_112,2.1413061579574904,C
AZC9C_113,2.4768495934907566,C
AZC9C_116,2.398421388095026,C
AZC3J_21,2.508554426001524,E
AZC3J_32,2.1613389600623503,E
AZC3J_34,2.410118755596323,E
AZC3J_43,2.538012061255199,E
AZC3J_55,2.3564871389344666,E
AZC3J_58,1.97822140591808,E
AZC3J_74,2.064971672089542,E
AZC3J_76,2.4377558591392763,E
AZC3J_79,2.9194859687865664,E
AZC3J_81,2.434309785245812,E
AZC3J_88,2.5339395599232164,E
AZC3J_90,2.6192681659361243,E
AZC3J_91,2.696105619503292,E
AZC5T_8,2.2351050865919877,E
AZC5T_9,2.6109245055208277,E
AZC5T_21,2.5056708570199673,E
AZC5T_32,2.6651751785555344,E
AZC5T_34,2.2538010937063344,E
AZC5T_39,2.3720582498610714,E
AZC5T_41,2.630739563998974,E
AZC5T_51,2.649457026079986,E
AZC5T_66,2.4140611861044947,E
AZC5T_68,2.75103713389223,E
AZC5T_69,2.259838962613011,E
AZC5T_78,2.3839809582028826,E
AZC5T_85,2.205193391035558,E
AZC5T_93,2.243835493506991,E
AZC5T_94,2.4238415103800977,E
AZC5T_97,2.49471365465146,E
AZC5T_104,1.886662048115795,E
AZC5T_106,2.2435416023459247,E
AZC5T_107,2.4256263397119766,E
AZC5T_108,2.646262321316297,E
AZC5T_109,1.9770820108231688,E
AZC5T_120,2.1412649496359526,E
AZC7E_2,2.1547085087314994,E
AZC7E_3,1.9949548688941585,E
AZC7E_4,2.2434863913358654,E
AZC7E_12,1.925134092136172,E
AZC7E_13,2.4224823808668443,E
AZC7E_15,2.376632202348116,E
AZC7E_17,2.2112036178033687,E
AZC7E_23,2.0827003885925826,E
AZC7E_24,2.2404652627501513,E
AZC7E_25,2.0817858859774483,E
AZC7E_26,2.5758810059409023,E
AZC7E_32,2.270750243551639,E
AZC7E_34,2.51068196143993,E
AZC7E_36,2.1679447716818734,E
AZC7E_37,2.0645892891019018,E
AZC7E_38,1.9561361490769826,E
AZC7E_39,2.0544000954987514,E
AZC7E_42,1.9409485719907682,E
AZC7E_48,2.130523712286138,E
AZC7E_54,2.5514295307166273,E
AZC7E_55,2.5680525785086745,E
AZC7E_58,2.5544223041164504,E
AZC7E_60,2.1633450829934393,E
AZC7E_61,2.4069964964654007,E
AZC7E_62,2.169664134478764,E
AZC7E_68,2.26895843452866,E
AZC7E_70,1.9755056517312457,E
AZC7E_71,2.22599562516284,E
AZC7E_72,2.2057704627424615,E
AZC7E_73,1.9882950138063928,E
AZC7E_76,2.5254184469474805,E
AZC7E_77,2.597464529521798,E
AZC7E_79,2.16927820238036,E
AZC7E_80,1.7219410751196247,E
AZC7E_81,2.1614591117222646,E
AZC7E_84,2.2114907272918476,E
AZC7E_87,2.1356911385686526,E
AZC7E_88,2.226901330401629,E
AZC7E_89,2.1133272460004164,E
AZC7E_90,2.425559285238396,E
AZC7E_91,2.5283476908383173,E
AZC7E_93,2.3546533217156655,E
AZC7E_94,2.4258602584058586,E
