taxon,growth_rate,degree.centrality,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC5T_30,0.102411046585708,3.63768115942029,2.75257589707306,11.93,0.00079535329907319,1.03140581272381,-2.15999271700483,0
AZC5T_34,0.111052295875431,4,2.72795387188371,21.12,0.00018016285861893,1.03140581272381,-0.483084638753054,0
AZC5T_47,0.0946528939033855,4.01449275362319,2.41231103648061,13.95,0.00012757863665084,1.03140581272381,0.664759888075471,0
AZC5T_49,0.142888212394914,3.66666666666667,3.46188364128107,21.93,0.00033593611446702,1.03140581272381,-0.198436368276216,0
AZC5T_51,0.0312578408788286,4.15942028985507,0.544296111607357,4.43,5.733087611134e-05,1.03140581272381,0.993798559555463,0
AZC5T_53,0.135098286336588,3.59420289855072,3.32323701020478,20.99,2.682572669246e-05,1.03140581272381,-0.257695365331355,0
AZC5T_58,0.200788526958154,10.5217391304348,5.26714507405784,21.7,6.152467226482e-05,1.03140581272381,-0.356636749182111,0
AZC5T_61,0.0347942853846956,2.98550724637681,0.82984268363798,22.2,9.722474047437e-05,1.03140581272381,-0.489233801659165,0
AZC5T_63,0.0352935467333528,1.95652173913043,0.623556949099698,14.11,0.00029238975976634,1.03140581272381,-0.303437308650006,0
AZC5T_65,0.0647009693556304,3.97101449275362,2.20868217138915,15.6,0.00012325769531944,1.03140581272381,2.28448228824957,0
AZC5T_66,0.0549279415876139,3.34782608695652,1.32690465955898,11.55,5.3580123406e-07,1.03140581272381,5.66464350464391,0
AZC5T_71,0.0165728802102221,2.14492753623188,0.29505714992648,11.51,0.00030969231064922,1.03140581272381,-0.6713322437412,0
AZC5T_79,0.027989530298427,2.63768115942029,0.469015427619827,9.23,0.00016823144748343,1.03140581272381,0.782776750761571,0
AZC5T_80,0.566619694915086,7.17391304347826,10.1074283606959,22.19,2.60133571476e-06,1.03140581272381,8.07147924932909,1
AZC5T_90,0.0173909058220145,1.36231884057971,0.210758488987998,16.61,0.00058491454241241,1.03140581272381,-0.147602160117323,0
