focal,PC1,PC2,PC3,sample_id
AZC3J_3,-0.3385039747112619,-0.008641514949243388,-0.08453043083083311,C
AZC3J_18,-0.29779760753165835,0.11195568667641369,0.19799877706656913,C
AZC3J_28,-0.34069230508957915,-0.010117417017263174,-0.08332045029022657,C
AZC3J_34,-0.3270649353897985,0.013276321254157909,-0.013239798617658444,C
AZC3J_55,-0.335580453096632,-0.02639271131156337,-0.06859221709214601,C
AZC3J_64,-0.33971815184732973,-0.014824301029198106,-0.08091126943161782,C
AZC3J_73,-0.3404006723173242,-0.007101971606080303,-0.0815290097748398,C
AZC3J_74,-0.33427209412689446,-0.007698068362294648,-0.05073844291772897,C
AZC3J_76,-0.28784007311061255,0.13218965666101568,0.3009572524032609,C
AZC3J_79,-0.3382326061654981,-0.010226335258140384,-0.07606175264847857,C
AZC3J_81,-0.3421660151250361,-0.007606733551593109,-0.08726648745996862,C
AZC3J_87,-0.1929875673394493,0.030505202145391482,0.32381871903566334,C
AZC3J_91,-0.33995134112224473,-0.008605541472913656,-0.08234316809914391,C
AZC3J_99,-0.3375406683049259,-0.005193079399467741,-0.0795649170229799,C
AZC5T_8,-0.33635343149771707,-0.005680375673528189,-0.0685869830235794,C
AZC5T_14,-0.33579232637425543,-0.00351250719421876,-0.06690500358022378,C
AZC5T_19,-0.3058654618361577,-0.017944748951939957,0.023262649765717805,C
AZC5T_22,-0.34091796077996384,-0.010003145101919726,-0.08392757724222827,C
AZC5T_30,-0.34084483065538845,-0.007526233621033941,-0.08291302365706815,C
AZC5T_37,-0.31902396548915835,-0.01154555658507913,-0.07062103534244944,C
AZC5T_38,-0.33722770590468154,-0.010626405203099015,-0.06972670001210123,C
AZC5T_44,-0.2960295555568263,-0.06484743088174985,0.05614922931323212,C
AZC5T_57,-0.3389322492936429,-0.0050945324963486225,-0.07708004779750686,C
AZC5T_64,-0.31964886063426456,-0.06258765254598585,-0.016838254785795603,C
AZC5T_66,-0.2953089116062081,0.05221637790429115,0.1667037465646646,C
AZC5T_68,-0.31288050422246927,-0.02868654260535575,-0.03423787528810319,C
AZC5T_69,-0.3348964769103784,-0.02308845109813047,-0.06168039392911539,C
AZC5T_78,-0.33319653466758964,-0.03744670812106559,-0.06686160104278976,C
AZC5T_80,-0.30717728142603634,-0.021575800775145877,-0.056212796339506925,C
AZC5T_85,-0.33696724544433443,-0.006175929376690028,-0.07065224007784673,C
AZC5T_87,-0.33738372045739606,-0.01058746449837534,-0.07352265029576205,C
AZC5T_93,-0.29688801030307665,0.11452058319494827,0.20426771851156142,C
AZC5T_94,-0.28002647474425507,0.14869147584078318,0.30698895141287863,C
AZC5T_97,4.622083279208433,-0.11252042935890727,-0.49309753919395305,C
AZC5T_98,-0.33679522110909066,-0.024614421945528726,-0.07147109619581879,C
AZC5T_104,-0.3418923673515818,-0.010277412285639184,-0.08585194489909934,C
AZC5T_107,-0.2795459033377731,0.156145797754609,0.3469241464907693,C
AZC5T_109,-0.3295380361290671,-0.00778432094850729,-0.08250493629800912,C
AZC5T_119,-0.33758075685860894,-0.008924822387322593,-0.08296651524788992,C
AZC5T_120,-0.34047521687444465,-0.014827741163135278,-0.08190100238363582,C
AZC5T_122,-0.3401984061054033,-0.0040399803588683615,-0.07815647044553432,C
AZC7E_12,-0.3354021488081802,-0.0251495162006967,-0.06412688552708776,C
AZC7E_15,-0.258389521023513,0.018536825916292254,0.36457527999641814,C
AZC7E_16,-0.33553570754690126,-0.02647335790480206,-0.0684620297354755,C
AZC7E_25,-0.337442949382176,-0.008154794135744634,-0.06446034680466074,C
AZC7E_29,-0.33255979269234986,-0.018667972340162927,-0.06103088256965683,C
AZC7E_39,7.6224591834932225,-1.5371892832116856,0.15196345069466946,C
AZC7E_45,0.04743927594049294,0.05544939965429017,-0.07497504698083368,C
AZC7E_51,-0.33633374873880995,-0.01807054784134178,-0.0699650793210058,C
AZC7E_54,-0.32206835680668616,-0.009721173843694295,-0.010803779443062605,C
AZC7E_57,-0.3385278534539521,-0.010801802394610479,-0.07186139899667603,C
AZC7E_59,-0.34218831410349226,-0.007353476894903145,-0.08650013932577678,C
AZC7E_60,-0.34024034424780875,-0.007980895491892813,-0.07625255052500751,C
AZC7E_61,-0.29176892695626827,0.11847694681178697,0.27624637404871527,C
AZC7E_64,-0.3246319411779412,0.004499050212170809,-0.006519808331798168,C
AZC7E_69,-0.33604710803497223,-0.015890240496431632,-0.06836714147343306,C
AZC7E_70,-0.3417720893228922,-0.00730970458787885,-0.08305644512945463,C
AZC7E_73,6.7994508146221735,1.8083208816680294,0.11911730635323077,C
