taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
AZC3J_1,J,1e-06,EX_dtmp_e,-7.184716440147359e-06,0.0046830639244406,dtmp_e,import
AZC3J_1,J,1e-06,EX_citr__L_e,-0.0067566186305214,0.0046830639244406,citr__L_e,import
AZC3J_1,J,1e-06,EX_nh4_e,0.0973148148300592,0.0046830639244406,nh4_e,export
AZC3J_1,J,1e-06,EX_ca2_e,-0.0001584707933887,0.0046830639244406,ca2_e,import
AZC3J_1,J,1e-06,EX_gthrd_e,-3.021555737756869e-06,0.0046830639244406,gthrd_e,import
AZC3J_1,J,1e-06,EX_ddca_e,-1.1295902526837366e-06,0.0046830639244406,ddca_e,import
AZC3J_1,J,1e-06,EX_h2o_e,0.0323526554716913,0.0046830639244406,h2o_e,export
AZC3J_1,J,1e-06,EX_malt_e,-1.2918467452248324e-05,0.0046830639244406,malt_e,import
AZC3J_1,J,1e-06,EX_rmn_e,-1.184568328103841e-06,0.0046830639244406,rmn_e,import
AZC3J_1,J,1e-06,EX_gua_e,-0.0073698699648084,0.0046830639244406,gua_e,import
AZC3J_1,J,1e-06,EX_fe3_e,-0.000232872575868,0.0046830639244406,fe3_e,import
AZC3J_1,J,1e-06,EX_abt__L_e,1.8271909407080569e-06,0.0046830639244406,abt__L_e,export
AZC3J_1,J,1e-06,EX_met__D_e,-2.318658364367148e-05,0.0046830639244406,met__D_e,import
AZC3J_1,T,1e-06,EX_cit_e,-0.1100013069417616,0.0021796675362447,cit_e,import
AZC3J_1,T,1e-06,EX_acgam_e,-2.560272826554807e-06,0.0021796675362447,acgam_e,import
AZC3J_1,T,1e-06,EX_h2_e,-3.4361127766813014e-06,0.0021796675362447,h2_e,import
AZC3J_1,T,1e-06,EX_tmam_e,1.11576270287702e-06,0.0021796675362447,tmam_e,export
AZC3J_1,T,1e-06,EX_acmana_e,-1.4385695192442662e-06,0.0021796675362447,acmana_e,import
AZC3J_1,T,1e-06,EX_5dglcn_e,1.2714602258033469e-06,0.0021796675362447,5dglcn_e,export
AZC3J_1,T,1e-06,EX_cu2_e,-1.26105136536537e-05,0.0021796675362447,cu2_e,import
AZC3J_1,T,1e-06,EX_glcn_e,-1.1250453822135443e-06,0.0021796675362447,glcn_e,import
AZC3J_1,T,1e-06,EX_pydx_e,-0.0917332024120674,0.0021796675362447,pydx_e,import
AZC3J_1,T,1e-06,EX_ala__L_e,-1.5397612656084086e-06,0.0021796675362447,ala__L_e,import
AZC3J_1,T,1e-06,EX_raffin_e,-1.358769265425192e-06,0.0021796675362447,raffin_e,import
AZC3J_1,T,1e-06,EX_stfrnB_e,3.2266711727941857e-06,0.0021796675362447,stfrnB_e,export
AZC3J_1,T,1e-06,EX_csn_e,-0.0028380115100301,0.0021796675362447,csn_e,import
AZC3J_1,T,1e-06,EX_h_e,-0.1147693377805643,0.0021796675362447,h_e,import
