taxon,average_distance,comparison,sample_id
411903,5.362884010633195,D-2 vs 11-0,D-2
428125,5.556336599574982,D-2 vs 11-0,D-2
428127,2.5550200361791227,D-2 vs 11-0,D-2
428128,3.176555238282383,D-2 vs 11-0,D-2
435590,16.737482969253698,D-2 vs 11-0,D-2
435591,7.2423128599812525,D-2 vs 11-0,D-2
445970,10.92745906764631,D-2 vs 11-0,D-2
445972,4.902780471982777,D-2 vs 11-0,D-2
445973,3.865918618670024,D-2 vs 11-0,D-2
449673,12.43859850345435,D-2 vs 11-0,D-2
450749,4.829378647868312,D-2 vs 11-0,D-2
457387,7.3586061500345155,D-2 vs 11-0,D-2
457388,6.943880740075436,D-2 vs 11-0,D-2
457390,8.565087416999399,D-2 vs 11-0,D-2
457391,8.892146036140415,D-2 vs 11-0,D-2
457392,4.292700256569354,D-2 vs 11-0,D-2
457393,10.76278183121961,D-2 vs 11-0,D-2
457394,12.266182127268369,D-2 vs 11-0,D-2
457395,8.417384366089596,D-2 vs 11-0,D-2
457412,6.677459054630363,D-2 vs 11-0,D-2
457416,4.85615571998126,D-2 vs 11-0,D-2
457421,3.6980398406267745,D-2 vs 11-0,D-2
457424,9.143444478616463,D-2 vs 11-0,D-2
469585,6.720835816654878,D-2 vs 11-0,D-2
469588,7.047632974209624,D-2 vs 11-0,D-2
469589,6.75927012594523,D-2 vs 11-0,D-2
469590,8.253701612063113,D-2 vs 11-0,D-2
469591,7.06917915574179,D-2 vs 11-0,D-2
469592,6.159568310764542,D-2 vs 11-0,D-2
469593,12.365811331156861,D-2 vs 11-0,D-2
469596,2.537759684587501,D-2 vs 11-0,D-2
470145,10.871104782339238,D-2 vs 11-0,D-2
470146,5.1897628243652285,D-2 vs 11-0,D-2
471870,5.055394105672223,D-2 vs 11-0,D-2
471875,4.041594260648326,D-2 vs 11-0,D-2
476272,5.16878348920344,D-2 vs 11-0,D-2
479436,5.074817869322512,D-2 vs 11-0,D-2
483215,7.444713801468877,D-2 vs 11-0,D-2
483216,12.35528995053759,D-2 vs 11-0,D-2
483217,9.962977841927934,D-2 vs 11-0,D-2
483218,4.1285785161872,D-2 vs 11-0,D-2
484018,8.352398597267015,D-2 vs 11-0,D-2
500632,3.925608156433872,D-2 vs 11-0,D-2
511680,3.7520392087441268,D-2 vs 11-0,D-2
515619,6.691214639088429,D-2 vs 11-0,D-2
515620,14.326498888162106,D-2 vs 11-0,D-2
518636,7.799138326777532,D-2 vs 11-0,D-2
518637,2.664941667923411,D-2 vs 11-0,D-2
536231,12.571080800721138,D-2 vs 11-0,D-2
537006,7.667879830993501,D-2 vs 11-0,D-2
537007,4.3116510162104875,D-2 vs 11-0,D-2
537011,4.978370454993557,D-2 vs 11-0,D-2
537012,3.844764571657516,D-2 vs 11-0,D-2
545696,2.9231761302617922,D-2 vs 11-0,D-2
546273,6.9842532512694415,D-2 vs 11-0,D-2
547042,7.855025703983816,D-2 vs 11-0,D-2
548480,2.6640877168649277,D-2 vs 11-0,D-2
552398,6.673614834713672,D-2 vs 11-0,D-2
556258,7.053539378449763,D-2 vs 11-0,D-2
556259,7.292775331077079,D-2 vs 11-0,D-2
563192,9.028226234780126,D-2 vs 11-0,D-2
563193,6.353139211071182,D-2 vs 11-0,D-2
566550,3.0692472241715314,D-2 vs 11-0,D-2
585394,7.178979956172823,D-2 vs 11-0,D-2
585543,11.19944734911088,D-2 vs 11-0,D-2
585544,7.379538222886184,D-2 vs 11-0,D-2
592028,11.819014848507873,D-2 vs 11-0,D-2
622312,9.304875693008375,D-2 vs 11-0,D-2
626522,3.155038938961284,D-2 vs 11-0,D-2
645463,3.110445901782433,D-2 vs 11-0,D-2
649757,4.463321998699975,D-2 vs 11-0,D-2
657309,9.98587138948168,D-2 vs 11-0,D-2
657313,5.209948359557155,D-2 vs 11-0,D-2
657314,5.04928949700494,D-2 vs 11-0,D-2
657317,6.630571442219397,D-2 vs 11-0,D-2
657319,3.3606182847384796,D-2 vs 11-0,D-2
657321,3.9398249190217576,D-2 vs 11-0,D-2
657322,8.390462514012997,D-2 vs 11-0,D-2
657323,5.326159298016512,D-2 vs 11-0,D-2
658089,4.347444185829195,D-2 vs 11-0,D-2
665951,5.69634568394337,D-2 vs 11-0,D-2
665953,12.369724978199216,D-2 vs 11-0,D-2
679189,6.540756871625146,D-2 vs 11-0,D-2
679935,7.720949575943851,D-2 vs 11-0,D-2
702443,11.050112548316124,D-2 vs 11-0,D-2
702444,7.641513009634897,D-2 vs 11-0,D-2
702447,7.276368368710291,D-2 vs 11-0,D-2
709991,10.878069048508532,D-2 vs 11-0,D-2
717959,12.607648226432715,D-2 vs 11-0,D-2
717960,4.501271888088173,D-2 vs 11-0,D-2
717962,6.34604043703806,D-2 vs 11-0,D-2
718252,9.587641887870173,D-2 vs 11-0,D-2
