taxon,donor,donor_abundance
742817,D-3,3112.19927960343
742817,D-10,1690.75553005234
742817,D-2,4449.40633590699
742817,D-5Fryst,3162.12502059992
742817,D-14,610.508906230481
561180,D-6Fresk,1.98295398458768
561180,D-7Fryst,2.93337881749561
561180,D-15Fryst,6.23614566020858
561180,D-13U,15.3541244000898
561180,D-4,5.8144085193414
561180,D-12,17.8577728235077
561180,D-9Fryst,2.12130664551541
561180,D-3,8.73862613607061
561180,D-10,6.4396105672751
561180,D-2,4.68173756244323
561180,D-5Fryst,3.59332388704536
561180,D-14,16.2988647735063
999413,D-6Fresk,616.698689206768
999413,D-7Fryst,368.139041595699
999413,D-15Fryst,1850.5762246669
999413,D-13U,3173.1857093519
999413,D-4,799.158148713924
999413,D-12,4107.28774940676
999413,D-9Fryst,742.457325930393
999413,D-3,864.291737362793
999413,D-10,1239.98279034308
999413,D-2,684.118901312017
999413,D-5Fryst,680.036545623335
999413,D-14,1389.12896055341
1064537,D-6Fresk,5.94886195376303
1064537,D-7Fryst,2.93337881749561
1064537,D-15Fryst,54.5662745268251
1064537,D-13U,30.7082488001797
1064537,D-4,17.1202028625052
1064537,D-12,43.5283212572999
1064537,D-9Fryst,5.30326661378852
1064537,D-3,13.3160017311552
1064537,D-10,20.7498562723309
1064537,D-2,9.36347512488646
1064537,D-5Fryst,11.6783026328974
1064537,D-14,53.5534128272351
411469,D-6Fresk,4885.99861802404
411469,D-7Fryst,1201.95197046883
411469,D-15Fryst,15359.6267610937
411469,D-13U,2180.28566481276
411469,D-4,1379.62993256151
411469,D-12,5189.35717143118
411469,D-9Fryst,1087.16965582665
411469,D-3,2516.30820213424
411469,D-10,1692.18655462285
411469,D-2,3123.30417134494
411469,D-5Fryst,1673.59060039138
411469,D-14,1597.28874780362
562982,D-6Fresk,13.8806778921137
562982,D-7Fryst,12.4668599743563
562982,D-15Fryst,4.67710924515644
562982,D-13U,15.3541244000898
562982,D-4,14.5360212983535
562982,D-12,33.4833240440769
562982,D-9Fryst,7.42457325930393
562982,D-3,14.564376893451
562982,D-10,16.4567825608142
562982,D-2,15.2156470779405
562982,D-5Fryst,6.28831680232938
562982,D-14,15.8331829228347
518635,D-6Fresk,39.6590796917536
518635,D-7Fryst,19.0669623137215
518635,D-15Fryst,57.6843473569294
518635,D-13U,40.9443317335729
518635,D-4,30.0411106832639
518635,D-12,39.6219334521576
518635,D-9Fryst,9.54587990481934
