donor,recipient,taxon,pre_abundance,post_abundance,log_fold_change
D-2,11-0,563194,12.0757239133155,2.22001860929255,-2.443466002954
D-2,11-0,1328337,30.6537607030315,16760.5854955064,9.09479275277854
D-2,11-0,273526,78.0277545168075,74.3706234113005,-0.0692545171338945
D-2,11-0,445973,2268.37829202433,229.216921409456,-3.30687579838086
D-2,11-0,1150461,357.627208202035,123.211032815737,-1.53732505404506
D-2,11-0,873533,206.216208365849,56.6104745369601,-1.86501680919152
D-2,11-0,349741,2292839.99306535,714631.760396405,-1.6818637410778
D-2,11-0,645462,194.140484452533,22.2001860929255,-3.12845732200643
D-2,11-0,85962,2.78670551845741,1.11000930464628,-1.32798878553406
D-2,11-0,469621,30.6537607030315,6.10505117555452,-2.32798878553406
D-2,11-0,469590,1010.64520136055,18872.378197596,4.22292771869425
D-2,11-0,657316,26.0092515056025,4.4400372185851,-2.55038120687051
D-2,11-0,762966,148.624294317729,4626.51878176568,4.96018518257824
D-2,11-0,1115803,52.018503011205,31.6352651824189,-0.717491192705769
D-2,11-0,1121303,574.990238641713,133.756121209876,-2.10393254779721
D-2,11-0,500640,20.4358404686877,242.537033065211,3.56903156605039
D-2,11-0,405534,22.2936441476593,8.8800744371702,-1.32798878553406
D-2,11-0,585543,832.29604817928,526539.018710136,9.30522794241529
D-2,11-0,393130,10.2179202343438,2.77502326161569,-1.88052980856284
D-2,11-0,1262650,6.50231287640063,1.66501395696941,-1.96541870614935
D-2,11-0,904314,3.71560735794322,1.11000930464628,-1.74302628481291
D-2,11-0,1410645,1837.36783850292,342.437870483376,-2.4237263164226
D-2,11-0,698737,9.28901839485804,3.33002791393883,-1.47999187897911
D-2,11-0,1203610,1009.71629952107,8194.64369155113,3.0207312261811
D-2,11-0,279010,39.0138772584038,11.6550976987859,-1.74302628481291
D-2,11-0,903510,16.7202331107445,7.77006513252393,-1.10559636419762
D-2,11-0,457421,6562.69149596721,2035.75706472127,-1.68872220643915
D-2,11-0,349968,11.1468220738296,5.55004652323138,-1.0060606906467
