taxon,average_distance,comparison,sample_id
709991,7.710023664,D-2 vs 12-0,D-2
717959,8.456895189,D-2 vs 12-0,D-2
717960,2.680877469,D-2 vs 12-0,D-2
717962,3.870965935,D-2 vs 12-0,D-2
742726,7.063408192,D-2 vs 12-0,D-2
742727,5.197191679,D-2 vs 12-0,D-2
742733,4.213546288,D-2 vs 12-0,D-2
742741,3.820578962,D-2 vs 12-0,D-2
742817,3.605875251,D-2 vs 12-0,D-2
742821,2.445138735,D-2 vs 12-0,D-2
748224,12.63120616,D-2 vs 12-0,D-2
762968,4.31855828,D-2 vs 12-0,D-2
762982,9.608766379,D-2 vs 12-0,D-2
762984,5.721666711,D-2 vs 12-0,D-2
763034,4.252991667,D-2 vs 12-0,D-2
862965,8.249002729,D-2 vs 12-0,D-2
866776,2.318457753,D-2 vs 12-0,D-2
868129,2.187462917,D-2 vs 12-0,D-2
888048,3.073225598,D-2 vs 12-0,D-2
997884,8.769082754,D-2 vs 12-0,D-2
999410,2.569651991,D-2 vs 12-0,D-2
1002367,5.633000631,D-3 vs 16-0,D-3
1077285,10.69855723,D-3 vs 16-0,D-3
1121097,1.615672964,D-3 vs 16-0,D-3
1121100,9.949296601,D-3 vs 16-0,D-3
1121101,2.828500936,D-3 vs 16-0,D-3
1121115,4.425007875,D-3 vs 16-0,D-3
1121130,7.113684433,D-3 vs 16-0,D-3
1122975,2.018267584,D-3 vs 16-0,D-3
1122981,1.827882387,D-3 vs 16-0,D-3
1160721,12.96473226,D-3 vs 16-0,D-3
1203465,3.148973952,D-3 vs 16-0,D-3
1203606,1.949334977,D-3 vs 16-0,D-3
1203610,3.005758205,D-3 vs 16-0,D-3
1203611,9.278932698,D-3 vs 16-0,D-3
1235789,2.972247895,D-3 vs 16-0,D-3
1235811,2.309529799,D-3 vs 16-0,D-3
1256908,4.177041307,D-3 vs 16-0,D-3
1282887,2.38601831,D-3 vs 16-0,D-3
1322347,5.324315262,D-3 vs 16-0,D-3
1408437,2.326675888,D-3 vs 16-0,D-3
1410647,1.939766508,D-3 vs 16-0,D-3
1437612,6.094504072,D-3 vs 16-0,D-3
213810,2.060079269,D-3 vs 16-0,D-3
226186,6.031802685,D-3 vs 16-0,D-3
347253,4.949549833,D-3 vs 16-0,D-3
364106,3.518631994,D-3 vs 16-0,D-3
367928,5.33128028,D-3 vs 16-0,D-3
411459,2.636035165,D-3 vs 16-0,D-3
411461,5.649983984,D-3 vs 16-0,D-3
411462,5.614998309,D-3 vs 16-0,D-3
411463,9.596853938,D-3 vs 16-0,D-3
411467,3.35734397,D-3 vs 16-0,D-3
411468,2.038342372,D-3 vs 16-0,D-3
411469,3.119217721,D-3 vs 16-0,D-3
411470,3.194286231,D-3 vs 16-0,D-3
411471,5.058013928,D-3 vs 16-0,D-3
411473,2.378982423,D-3 vs 16-0,D-3
411474,1.728803778,D-3 vs 16-0,D-3
411475,5.659091538,D-3 vs 16-0,D-3
411476,13.98651821,D-3 vs 16-0,D-3
411477,10.80300903,D-3 vs 16-0,D-3
411479,9.206608758,D-3 vs 16-0,D-3
411486,6.863075942,D-3 vs 16-0,D-3
411901,8.017794712,D-3 vs 16-0,D-3
411902,3.480450987,D-3 vs 16-0,D-3
411903,3.385873609,D-3 vs 16-0,D-3
428125,2.344792834,D-3 vs 16-0,D-3
428127,1.642439909,D-3 vs 16-0,D-3
428128,3.296856257,D-3 vs 16-0,D-3
435590,12.54607172,D-3 vs 16-0,D-3
435591,6.039575992,D-3 vs 16-0,D-3
445970,9.972072001,D-3 vs 16-0,D-3
445972,2.668566847,D-3 vs 16-0,D-3
445973,2.182209305,D-3 vs 16-0,D-3
449673,9.948895063,D-3 vs 16-0,D-3
457412,5.210763973,D-3 vs 16-0,D-3
